Vector,Add,848361
ForwardList,Add,822513
List,Add,999569.4
Vector,Contains,11680.8
ForwardList,Contains,12932.699
List,Contains,14358.4
ForwardList,Remove,4.429433e+07
List,Remove,4.4625864e+07
Vector,Remove,5.037791e+07
ForwardList,RemoveBack,1.4731084e+06
List,RemoveBack,2514.5
Vector,RemoveBack,1677.7
Vector,RemoveAt,132836.9
ForwardList,RemoveAt,1.0523635e+06
List,RemoveAt,3.0794435e+06
ForwardList,Iterator,77.8
List,Iterator,68.5
Vector,Iterator,82.2
List,Reverse,7356.8
Vector,Reverse,7244.1
ForwardList,Reverse,6037.3
ForwardList,Sort,540494.1
List,Sort,524609.75
Vector,Sort,473698.8
